"","characteristic","options","all tested n(%)","male n(%)","female n(%)","cluster n(%)","seropositive n(%)","seronegative n(%)","OR_univariate","OR_multivariate1"
"1","cat_sex","female","1232 (54%)",NA,"1232 (100%)","65 (47%)","143 (41%)","1089 (56%)",NA,NA
"2","cat_sex","male","1062 (46%)","1062 (100%)",NA,"72 (53%)","210 (59%)","852 (44%)","1.9 (1.5, 2.4)","1.4 (1, 2)"
"3","age_bin","(0,5]","93 (4%)","53 (5%)","40 (3%)","6 (4%)","4 (1%)","89 (5%)",NA,NA
"4","age_bin","(5,15]","436 (19%)","213 (20%)","223 (18%)","23 (17%)","9 (3%)","427 (22%)","0.5 (0.1, 1.5)","1.7 (0.3, 10.6)"
"5","age_bin","(15,40]","1029 (45%)","444 (42%)","585 (47%)","73 (53%)","97 (27%)","932 (48%)","2.4 (0.8, 6.7)","5.1 (0.7, 35.6)"
"6","age_bin","(40,100]","736 (32%)","352 (33%)","384 (31%)","35 (26%)","243 (69%)","493 (25%)","12.9 (4.5, 36.6)","20.8 (2.9, 147.9)"
"7","cat_activity_month_r1","homeworker","844 (37%)","78 (7%)","766 (62%)","47 (34%)","127 (36%)","717 (37%)",NA,NA
"8","cat_activity_month_r1","business/outside","502 (22%)","438 (41%)","64 (5%)","42 (31%)","138 (39%)","364 (19%)","2.2 (1.7, 3)","1.8 (1.2, 2.7)"
"9","cat_activity_month_r1","farmer","80 (3%)","79 (7%)","1 (0%)","6 (4%)","27 (8%)","53 (3%)","3.1 (1.8, 5.4)","1.7 (0.9, 3.3)"
"10","cat_activity_month_r1","student","666 (29%)","345 (32%)","321 (26%)","30 (22%)","20 (6%)","646 (33%)","0.2 (0.1, 0.3)","0.5 (0.3, 1)"
"11","cat_activity_month_r1","child","96 (4%)","51 (5%)","45 (4%)","4 (3%)","5 (1%)","91 (5%)","0.3 (0.1, 0.8)","2.6 (0.4, 15.8)"
"12","cat_activity_month_r1","none","71 (3%)","41 (4%)","30 (2%)","2 (1%)","23 (7%)","48 (2%)","3 (1.7, 5.4)","1.3 (0.7, 2.4)"
"13","cat_activity_month_r1","other","34 (1%)","29 (3%)","5 (0%)","6 (4%)","13 (4%)","21 (1%)","3.6 (1.7, 7.9)","3.3 (1.4, 7.8)"
"14","cat_activity_month_r1",NA,"1 (0%)","1 (0%)",NA,NA,NA,"1 (0%)",NA,NA
"15","last_left","> 1 year","2140 (93%)","982 (92%)","1158 (94%)","129 (94%)","322 (91%)","1818 (94%)",NA,NA
"16","last_left","1 month - 1 year","112 (5%)","59 (6%)","53 (4%)","5 (4%)","22 (6%)","90 (5%)","1.4 (0.8, 2.3)",NA
"17","last_left","1 week - 1 month","24 (1%)","10 (1%)","14 (1%)","3 (2%)","5 (1%)","19 (1%)","1.5 (0.5, 4.4)",NA
"18","last_left","< 1 week","18 (1%)","11 (1%)","7 (1%)",NA,"4 (1%)","14 (1%)","1.6 (0.5, 5.2)",NA
"19","ind_source_primary_r1","sufficient","2199 (96%)","1019 (96%)","1180 (96%)","108 (79%)","328 (93%)","1871 (96%)",NA,NA
"20","ind_source_primary_r1","insufficient","93 (4%)","41 (4%)","52 (4%)","28 (20%)","24 (7%)","69 (4%)","2 (1.2, 3.4)","2.4 (1.3, 4.4)"
"21","ind_source_primary_r1",NA,"2 (0%)","2 (0%)",NA,"1 (1%)","1 (0%)","1 (0%)",NA,NA
"22","source_rank_r1","improved","2287 (100%)","1058 (100%)","1229 (100%)","136 (99%)","353 (100%)","1934 (100%)",NA,NA
"23","source_rank_r1","unimproved","3 (0%)","1 (0%)","2 (0%)",NA,NA,"3 (0%)",NA,NA
"24","source_rank_r1",NA,"4 (0%)","3 (0%)","1 (0%)","1 (1%)",NA,"4 (0%)",NA,NA
"25","piped_r1","0","1981 (86%)","910 (86%)","1071 (87%)","105 (77%)","296 (84%)","1685 (87%)",NA,NA
"26","piped_r1","1","309 (13%)","149 (14%)","160 (13%)","31 (23%)","57 (16%)","252 (13%)","1.3 (0.9, 1.9)","1.2 (0.8, 1.8)"
"27","piped_r1",NA,"4 (0%)","3 (0%)","1 (0%)","1 (1%)",NA,"4 (0%)",NA,NA
"28","tubewell_r1","0","466 (20%)","225 (21%)","241 (20%)","40 (29%)","81 (23%)","385 (20%)",NA,NA
"29","tubewell_r1","1","1824 (80%)","834 (79%)","990 (80%)","96 (70%)","272 (77%)","1552 (80%)","0.8 (0.6, 1.1)",NA
"30","tubewell_r1",NA,"4 (0%)","3 (0%)","1 (0%)","1 (1%)",NA,"4 (0%)",NA,NA
"31","tap_r1","0","2109 (92%)","971 (91%)","1138 (92%)","128 (93%)","319 (90%)","1790 (92%)",NA,NA
"32","tap_r1","1","181 (8%)","88 (8%)","93 (8%)","8 (6%)","34 (10%)","147 (8%)","1.3 (0.9, 2)",NA
"33","tap_r1",NA,"4 (0%)","3 (0%)","1 (0%)","1 (1%)",NA,"4 (0%)",NA,NA
"34","jaundice_acute","no","1829 (80%)","842 (79%)","987 (80%)","105 (77%)","267 (76%)","1562 (80%)",NA,NA
"35","jaundice_acute","yes","56 (2%)","33 (3%)","23 (2%)","1 (1%)","10 (3%)","46 (2%)","1.3 (0.6, 2.7)",NA
"36","jaundice_acute",NA,"409 (18%)","187 (18%)","222 (18%)","31 (23%)","76 (22%)","333 (17%)",NA,NA
"37","cat_type","house","1509 (66%)","712 (67%)","797 (65%)","123 (90%)","245 (69%)","1264 (65%)",NA,NA
"38","cat_type","separate_structures","311 (14%)","137 (13%)","174 (14%)","14 (10%)","40 (11%)","271 (14%)","0.8 (0.5, 1.1)",NA
"39","cat_type","flat_multistory","210 (9%)","94 (9%)","116 (9%)",NA,"35 (10%)","175 (9%)","1 (0.7, 1.6)",NA
"40","cat_type","flat","166 (7%)","74 (7%)","92 (7%)",NA,"22 (6%)","144 (7%)","0.8 (0.5, 1.3)",NA
"41","cat_type","room","98 (4%)","45 (4%)","53 (4%)",NA,"11 (3%)","87 (4%)","0.7 (0.3, 1.3)",NA
"42","income_bin","<10k","367 (16%)","166 (16%)","201 (16%)","32 (23%)","69 (20%)","298 (15%)","1.4 (1, 1.9)","1.5 (1, 2.1)"
"43","income_bin",">10k","1927 (84%)","896 (84%)","1031 (84%)","105 (77%)","284 (80%)","1643 (85%)",NA,NA
"44","sanitation_rank","improved private","1736 (76%)","800 (75%)","936 (76%)","87 (64%)","260 (74%)","1476 (76%)",NA,NA
"45","sanitation_rank","improved shared","543 (24%)","255 (24%)","288 (23%)","50 (36%)","90 (25%)","453 (23%)","1.1 (0.9, 1.5)",NA
"46","sanitation_rank","unimproved","15 (1%)","7 (1%)","8 (1%)",NA,"3 (1%)","12 (1%)","1.4 (0.3, 5.6)",NA
"47","mammals","0","1631 (71%)","756 (71%)","875 (71%)","74 (54%)","250 (71%)","1381 (71%)",NA,NA
"48","mammals","1","658 (29%)","305 (29%)","353 (29%)","63 (46%)","103 (29%)","555 (29%)","1 (0.8, 1.3)",NA
"49","mammals",NA,"5 (0%)","1 (0%)","4 (0%)",NA,NA,"5 (0%)",NA,NA
